Unidad Primaria de Muestreo,Vivienda seleccionada,Consecutivo del hogar en la vivienda,Consecutivo del residente habitual miembro del hogar,,Clave Llave única para cada migrante internacional delcalrado en el hogar en la base (UPM+VIV_SEL+HOGAR+N_REN),Clave única de identificación del hogar (UPM+VIV_SEL+ HOGAR),Clave única de identificación de la vivienda (UPM+VIV_SEL+HOGAR),Clave de Entidad Federativa de levantamiento de la información,Clave de tamaño de localidad,"P4.4 Cuando (NOMBRE) se fue la última vez, ¿vivía con ustedes?",P4.5 ¿En qué estado de la República Mexicana o país nació (NOMBRE)?,P4.5 ¿En qué estado de la República Mexicana o país nació (NOMBRE)?  (Otra entidad),P4.5 ¿En qué estado de la República Mexicana o país nació (NOMBRE)?  (Otro país),P4.6 (NOMBRE) es hombre o mujer,P4.7 ¿Qué es (NOMBRE) de la jefa o jefe del hogar?,P4.7 ¿Qué es (NOMBRE) de la jefa o jefe del hogar? (Otro parentesco),"P4.8 La última vez que (NOMBRE) se fue, ¿cuántos años cumplidos tenía?","P4.9 La última vez que (NOMBRE) se fue a vivir a otro país, ¿en qué estado de la República Mexicana vivía?","P4.9 La última vez que (NOMBRE) se fue a vivir a otro país, ¿en qué estado de la República Mexicana vivía? (Otra entidad)",P4.10 ¿En qué mes y año se fue a vivir (NOMBRE) a otro país la última vez? (Mes),P4.10 ¿En qué mes y año se fue a vivir (NOMBRE) a otro país la última vez? (Año),P4.11 ¿A qué país se fue (NOMBRE) la última vez?,P4.11 ¿A qué país se fue (NOMBRE) la última vez? (Otro país),P4.12 ¿A qué estado de EUA llegó (NOMBRE) a vivir (la última vez)?,P4.12C ¿A qué estado de EUA llegó (NOMBRE) a vivir (la última vez)? (Otro estado),"P4.13 Cuando (NOMBRE) se fue la última vez, ¿qué tipo de documento llevaba?",P4.14 ¿Cuál fue el motivo principal por el que (NOMBRE) se fue la última vez?,P4.14A ¿Se fue a buscar trabajo? ¿Con trabajo?,,P4.15 ¿En qué país vive actualmente (NOMBRE)?,P4.15 ¿En qué país vive actualmente (NOMBRE)? (Otro país),P4.16 ¿En qué estado de EUA vive actualmente (NOMBRE)?,,"P4.17 Cuando (NOMBRE) se regresó a México, ¿en qué estado de EUA o país vivía?","P4.17 Cuando (NOMBRE) se regresó a México, ¿en qué estado de EUA o país vivía? (Otro estado)","P4.17 Cuando (NOMBRE) se regresó a México, ¿en qué estado de EUA o país vivía? (Otro país)",P4.18 ¿En qué mes y año regresó (NOMBRE) a vivir a la República Mexicana? (Mes),P4.18 ¿En qué mes y año regresó (NOMBRE) a vivir a la República Mexicana? (Año),P4.19 ¿Cuál fue el motivo principal por el que (NOMBRE) se regresó?,P4.19 ¿Cuál fue el motivo principal por el que (NOMBRE) se regresó? (Otro motivo),P4.20 (NOMBRE) actualmente forma parte de este hogar?,P4.20 Número de renglón en la lista de personas,Factor de expansión a nivel vivienda,"Tamaño de localidad, segunda agrupación","Tamaño de localidad, tercera agrupación",P4.8.AG1 Edad al emigrar ( grupos quinquenales),P4.8.AG2 Edad al emigrar por grandes grupos,Condición de tenencia de documento para ingresar a EUA,Condición de retorno a México,Duración de migración (en meses),Duración de migración (agrupado),Estrato sociodemográfico,Estrato de diseño muestral,Unidad Primaria de Muestreo
2601551,2,1,1,260155000000.0,260155000000.0,2601551021,260155102,Sonora,Localidad de 100 000 y más habitantes,Sí,En otro estado,Jalisco,,Hombre,Jefa(e),,15,"Aquí, en este estado",,Agosto,2013,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Otro estado,NUEVO MEXICO,Visa de estudiante,Estudiar,,,2,,,,Otro estado,NUEVO MEXICO,,Mayo,2017.0,Terminó estudios,,Sí,1.0,288,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,15 a 19 años,18 a 29 años,Con documento,Retornó,45.0,De 3 a 5 años,Alto,453,12170
762003,4,1,1,76200304101.0,76200304101.0,762003041,76200304,Chiapas,Localidad menor de 2 500 habitantes,Sí,"Aquí, en este estado",Chiapas,,Hombre,Jefa(e),,44,"Aquí, en este estado",,Mayo,2015,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Texas,,Otro documento,Buscar trabajo o trabajar,,,2,,,,Texas,,,Junio,2017.0,Reunirse con la familia,,Sí,1.0,408,Localidad Rural (menos de 2 500 habitantes),Localidad menor de 15 000 habitantes,40 a 44 años,30 a 59 años,Con documento,Retornó,25.0,De un año a 3 años,Bajo,126,3437
101193,5,1,1,10119305101.0,,101193051,10119305,Aguascalientes,Localidad de 100 000 y más habitantes,Sí,En otro estado,Jalisco,,Hombre,Nuera/yerno,,24,"Aquí, en este estado",,Enero,2015,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Texas,,Ningún documento,Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Texas,TEXAS,,,,,,,,,,121,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,20 a 24 años,18 a 29 años,Sin documento,No retornó,,,Medio bajo,1,268
1661789,14,1,1,166179000000.0,166179000000.0,1661789141,166178914,Michoacán de Ocampo,Localidad menor de 2 500 habitantes,Sí,"Aquí, en este estado",Michoacán de Ocampo,,Hombre,Jefa(e),,31,"Aquí, en este estado",,Noviembre,2016,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Otro estado,PENNSYLVANIA,Ningún documento,Buscar trabajo o trabajar,,,2,,,,Otro estado,PENNSYLVANIA,,Abril,2018.0,Le deportaron (regresaron),,Sí,1.0,329,Localidad Rural (menos de 2 500 habitantes),Localidad menor de 15 000 habitantes,30 a 34 años,30 a 59 años,Sin documento,Retornó,17.0,De un año a 3 años,Bajo,294,7715
1661789,19,1,1,166179000000.0,,1661789191,166178919,Michoacán de Ocampo,Localidad menor de 2 500 habitantes,Sí,"Aquí, en este estado",Michoacán de Ocampo,,Hombre,Jefa(e),,60,"Aquí, en este estado",,Julio,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Nueva York,,Permiso para trabajar (green card),Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Nueva York,NUEVA YORK,,,,,,,,,,329,Localidad Rural (menos de 2 500 habitantes),Localidad menor de 15 000 habitantes,60 a 64 años,60 y más años,Con documento,No retornó,,,Bajo,294,7715
1661789,19,1,2,166179000000.0,166179000000.0,1661789191,166178919,Michoacán de Ocampo,Localidad menor de 2 500 habitantes,Sí,En otro estado,Guanajuato,,Mujer,Esposa(o) o compañera(o),,55,"Aquí, en este estado",,Mayo,2017,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Nueva York,,Visa de turista,Reunirse con la familia,,,2,,,,Otro estado,ESTADO DE EEUU NO ESPECIFICADO,,Octubre,2017.0,Reunirse con la familia,,Sí,2.0,329,Localidad Rural (menos de 2 500 habitantes),Localidad menor de 15 000 habitantes,55 a 59 años,30 a 59 años,Con documento,Retornó,5.0,Menos de un año,Bajo,294,7715
1661789,20,1,1,166179000000.0,166179000000.0,1661789201,166178920,Michoacán de Ocampo,Localidad menor de 2 500 habitantes,Sí,"Aquí, en este estado",Michoacán de Ocampo,,Hombre,Jefa(e),,35,"Aquí, en este estado",,Octubre,2014,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,California,,Ningún documento,Buscar trabajo o trabajar,,,2,,,,California,,,Octubre,2016.0,Reunirse con la familia,,Sí,1.0,329,Localidad Rural (menos de 2 500 habitantes),Localidad menor de 15 000 habitantes,35 a 39 años,30 a 59 años,Sin documento,Retornó,24.0,De un año a 3 años,Bajo,294,7715
2801297,2,1,1,280130000000.0,,2801297021,280129702,Tamaulipas,Localidad de 100 000 y más habitantes,Sí,En otro estado,San Luis Potosí,,Hombre,Hija(o),,999,"Aquí, en este estado",,Junio,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Texas,,Permiso para trabajar (green card),Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Texas,TEXAS,,,,,,,,,,301,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,Edad no especificada,NE Edad al emigrar,Con documento,No retornó,,,Medio alto,505,13002
100310,3,1,1,10031003101.0,10031003103.0,100310031,10031003,Aguascalientes,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Aguascalientes,,Hombre,Jefa(e),,23,"Aquí, en este estado",,Octubre,2017,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Otro estado,NUEVO MEXICO,Visa de turista,Buscar trabajo o trabajar,,,2,,,,Otro estado,NUEVO MEXICO,,Enero,2018.0,Terminó estudios,,Sí,3.0,78,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,20 a 24 años,18 a 29 años,Con documento,Retornó,3.0,Menos de un año,Medio alto,2,74
2603221,3,1,1,260322000000.0,260322000000.0,2603221031,260322103,Sonora,Localidad de 100 000 y más habitantes,Sí,En otro estado,Nayarit,,Hombre,Hija(o),,38,"Aquí, en este estado",,Fecha de emigración no especificada,2013,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Illinois,,Permiso para trabajar (green card),Buscar trabajo o trabajar,,,2,,,,Otro estado,ESTADO DE EEUU NO ESPECIFICADO,,No sabe,2014.0,Reunirse con la familia,,Sí,2.0,233,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,35 a 39 años,30 a 59 años,Con documento,Retornó,1.0,,Medio bajo,451,12343
